user_id,context,restaurant_id,rating
user_000,Quick Lunch,119,4
user_000,Weekend Brunch,97,5
user_000,Weekend Brunch,271,4
user_000,Late Night Eats,16,4
user_000,Late Night Eats,28,4
user_000,Late Night Eats,165,4
user_000,Group Hang,166,4
user_000,Group Hang,172,5
user_000,Group Hang,288,5
user_000,Group Hang,16,5
user_000,Group Hang,28,4
user_000,Group Hang,165,5
user_000,Quick Lunch,35,3
user_000,Quick Lunch,279,3
user_000,Quick Lunch,332,4
user_000,Late Night Eats,27,3
user_000,Late Night Eats,76,4
user_000,Late Night Eats,154,4
user_000,Weekend Brunch,97,3
user_000,Weekend Brunch,271,5
user_000,Group Hang,16,5
user_000,Group Hang,28,4
user_000,Group Hang,165,4
user_000,Quick Lunch,166,4
user_000,Quick Lunch,172,4
user_000,Quick Lunch,288,4
user_000,Date Night,226,4
user_000,Quick Lunch,35,4
user_000,Quick Lunch,279,4
user_000,Quick Lunch,332,3
user_000,Quick Lunch,70,4
user_000,Quick Lunch,180,4
user_000,Late Night Eats,16,4
user_000,Late Night Eats,28,4
user_000,Late Night Eats,165,4
user_000,Late Night Eats,27,3
user_000,Late Night Eats,76,4
user_000,Late Night Eats,154,4
user_001,Quick Lunch,6,5
user_001,Quick Lunch,73,3
user_001,Group Hang,82,5
user_001,Group Hang,88,5
user_001,Group Hang,155,4
user_001,Date Night,82,5
user_001,Date Night,88,4
user_001,Date Night,155,5
user_001,Weekend Brunch,148,4
user_001,Group Hang,82,4
user_001,Group Hang,88,4
user_001,Group Hang,155,5
user_001,Group Hang,82,5
user_001,Group Hang,88,4
user_001,Group Hang,155,4
user_001,Quick Lunch,82,5
user_001,Quick Lunch,88,5
user_001,Quick Lunch,155,4
user_001,Group Hang,82,5
user_001,Group Hang,88,5
user_001,Group Hang,155,5
user_001,Group Hang,82,5
user_001,Group Hang,88,4
user_001,Group Hang,155,4
user_001,Quick Lunch,82,5
user_001,Quick Lunch,88,4
user_001,Quick Lunch,155,4
user_001,Late Night Eats,82,5
user_001,Late Night Eats,88,3
user_001,Late Night Eats,155,5
user_001,Weekend Brunch,148,4
user_001,Quick Lunch,82,5
user_001,Quick Lunch,88,4
user_001,Quick Lunch,155,3
user_001,Date Night,82,5
user_001,Date Night,88,4
user_001,Date Night,155,5
user_001,Group Hang,82,5
user_001,Group Hang,88,4
user_001,Group Hang,155,5
user_002,Weekend Brunch,243,5
user_002,Weekend Brunch,316,4
user_002,Date Night,137,5
user_002,Date Night,200,5
user_002,Date Night,237,5
user_002,Group Hang,137,5
user_002,Group Hang,200,5
user_002,Group Hang,237,5
user_002,Quick Lunch,62,4
user_002,Quick Lunch,175,4
user_002,Quick Lunch,199,5
user_002,Quick Lunch,62,5
user_002,Quick Lunch,175,4
user_002,Quick Lunch,199,4
user_002,Weekend Brunch,243,5
user_002,Weekend Brunch,316,4
user_002,Weekend Brunch,243,5
user_002,Weekend Brunch,316,4
user_002,Late Night Eats,100,5
user_002,Late Night Eats,201,4
user_002,Late Night Eats,42,4
user_002,Late Night Eats,85,4
user_002,Late Night Eats,170,4
user_002,Weekend Brunch,137,5
user_002,Weekend Brunch,200,5
user_002,Weekend Brunch,237,5
user_002,Date Night,137,5
user_002,Date Night,200,5
user_002,Date Night,237,5
user_002,Date Night,137,5
user_002,Date Night,200,5
user_002,Date Night,237,5
user_002,Late Night Eats,42,5
user_002,Late Night Eats,85,4
user_002,Late Night Eats,170,4
user_002,Group Hang,42,4
user_002,Group Hang,85,4
user_002,Group Hang,170,5
user_002,Date Night,77,5
user_002,Date Night,81,5
user_002,Date Night,333,4
user_003,Date Night,137,5
user_003,Date Night,200,5
user_003,Date Night,237,5
user_003,Late Night Eats,45,5
user_003,Late Night Eats,145,4
user_003,Late Night Eats,198,4
user_003,Date Night,137,5
user_003,Date Night,200,5
user_003,Date Night,237,5
user_003,Quick Lunch,2,5
user_003,Quick Lunch,223,5
user_003,Quick Lunch,278,4
user_003,Late Night Eats,23,4
user_003,Late Night Eats,157,5
user_003,Late Night Eats,189,4
user_003,Date Night,42,5
user_003,Date Night,85,5
user_003,Date Night,170,4
user_003,Late Night Eats,42,4
user_003,Late Night Eats,85,4
